outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction,,,,,,,,,
case,21-Aug,202132,all_ages_adj,Moderna,39468,41289270,476570,66944851.3,95.58899927,711.8844702,7.447347243,93.84241163,718.4032546,7.655421915,0,,,,,,,,,
case,21-Aug,202132,all_ages_adj,Pfizer,81850,57641615,476570,66944851.3,141.9981033,711.8844702,5.013337881,142.9357056,718.4032546,5.026058756,0,,,,,,,,,
case,21-Aug,202132,all_ages_adj,all_types,137349,107575944,476570,66944851.3,127.676314,711.8844702,5.575697231,127.4002619,718.4032546,5.638946452,0,,,,,,,,,
case,21-Aug,202133, 12-17,all_types,3680,5376189,76530,9512090,68.44997451,804.5550452,11.753913,,,,0,,,,,,,,,
case,21-Aug,202133,18-29,all_types,20816,15751775,127135,18002883,132.1501862,706.1924471,5.34386267,,,,0,,,,,,,,,
case,21-Aug,202133,30-49,all_types,48931,30978683,178273,21187809,157.9505494,841.3942187,5.326947085,,,,0,,,,,,,,,
case,21-Aug,202133,50-64,all_types,36998,27914822,79026,10953165,132.5389071,721.4900899,5.443609772,,,,0,,,,,,,,,
case,21-Aug,202133,65-79,all_types,26548,22087060,29890,3774028.75,120.1970747,791.9918469,6.589110834,,,,1,,,,,,,,,
case,21-Aug,202133,80+,all_types,8523,6508119,7154,1605002.55,130.9594984,445.7313791,3.403581904,,,,1,,,,,,,,,
case,21-Aug,202133,all_ages_adj,Janssen,16635,8698134,498008,65034978.3,191.2479159,765.7540804,4.003986536,179.8328807,768.2374761,4.271952232,0,,,,,,,,,
case,21-Aug,202133,all_ages_adj,Moderna,42927,41504716,498008,65034978.3,103.4268009,765.7540804,7.40382641,103.5608447,768.2374761,7.418223344,0,,,,,,,,,
case,21-Aug,202133,all_ages_adj,Pfizer,85629,58336067,498008,65034978.3,146.7856926,765.7540804,5.216816889,147.6365018,768.2374761,5.203574092,0,,,,,,,,,
case,21-Aug,202133,all_ages_adj,all_types,145496,108616648,498008,65034978.3,133.9536827,765.7540804,5.716558627,133.7412832,768.2374761,5.744205962,0,,,,,,,,,
case,21-Aug,202134, 12-17,all_types,4739,5641450,90727,9204379,84.00322612,985.6938746,11.73400023,,,,0,,,,,,,,,
case,21-Aug,202134,18-29,all_types,22031,16006369,122969,17575708,137.6389611,699.6531804,5.083249502,,,,0,,,,,,,,,
case,21-Aug,202134,30-49,all_types,50504,31353190,175820,20550321,161.080898,855.558412,5.311358595,,,,0,,,,,,,,,
case,21-Aug,202134,50-64,all_types,37530,28134883,76331,10634774,133.3931262,717.7491501,5.380705665,,,,0,,,,,,,,,
case,21-Aug,202134,65-79,all_types,26799,22162097.8,29150,3663978.75,120.9226683,795.5832167,6.579272756,,,,1,,,,,,,,,
case,21-Aug,202134,80+,all_types,8485,6524026,6711,1580140.55,130.0577282,424.7090552,3.265542626,,,,1,,,,,,,,,
case,21-Aug,202134,all_ages_adj,Janssen,16796,8824210,501708,63209301.3,190.3399851,793.7249577,4.170037931,182.1420748,789.8883945,4.336660794,0,,,,,,,,,
case,21-Aug,202134,all_ages_adj,Moderna,45097,41740443,501708,63209301.3,108.0414983,793.7249577,7.346482328,112.1501399,789.8883945,7.043133385,0,,,,,,,,,
case,21-Aug,202134,all_ages_adj,Pfizer,87828,59179212,501708,63209301.3,148.4102222,793.7249577,5.348182532,150.0223543,789.8883945,5.265137974,0,,,,,,,,,
case,21-Aug,202134,all_ages_adj,all_types,150088,109822015.8,501708,63209301.3,136.6647652,793.7249577,5.807824399,137.7728371,789.8883945,5.733266521,0,,,,,,,,,
case,21-Sep,202135, 12-17,all_types,4880,5961546,82937,8921717,81.85796101,929.6080564,11.3563549,,,,0,,,,,,,,,
case,21-Sep,202135,18-29,all_types,22088,16319286,111869,17162604,135.3490588,651.8183371,4.815832064,,,,0,,,,,,,,,
case,21-Sep,202135,30-49,all_types,47995,31846829,162130,19946491,150.7057422,812.8246718,5.39345522,,,,0,,,,,,,,,
case,21-Sep,202135,50-64,all_types,35540,28420999,70587,10331921,125.0483841,683.1933771,5.46343227,,,,0,,,,,,,,,
case,21-Sep,202135,65-79,all_types,25820,22262447.8,27625,3557067.75,115.9800586,776.6228237,6.696175473,,,,1,,,,,,,,,
case,21-Sep,202135,80+,all_types,8188,6545010,6640,1556174.55,125.102941,426.6873533,3.410690027,,,,1,,,,,,,,,
case,21-Sep,202135,all_ages_adj,Janssen,15814,8943741,461788,61475975.3,176.8163904,751.1682373,4.248295284,177.6520749,750.7335183,4.225864059,0,,,,,,,,,
case,21-Sep,202135,all_ages_adj,Moderna,43578,42044995,461788,61475975.3,103.6461058,751.1682373,7.247433287,108.1172105,750.7335183,6.943700405,0,,,,,,,,,
case,21-Sep,202135,all_ages_adj,Pfizer,84911,60289130,461788,61475975.3,140.8396505,751.1682373,5.333499724,142.6507433,750.7335183,5.262738217,0,,,,,,,,,
case,21-Sep,202135,all_ages_adj,all_types,144511,111356117.8,461788,61475975.3,129.7737411,751.1682373,5.78829146,131.0114963,750.7335183,5.730287335,0,,,,,,,,,
case,21-Sep,202136, 12-17,all_types,4309,6329101,64134,8714358,68.08233902,735.9578296,10.80981999,,,,0,,,,,,,,,
case,21-Sep,202136,18-29,all_types,20509,16685427,98957,16837668,122.9156437,587.7120276,4.78142578,,,,0,,,,,,,,,
case,21-Sep,202136,30-49,all_types,44301,32441726,143064,19478036,136.5556198,734.4888366,5.378678943,,,,0,,,,,,,,,
case,21-Sep,202136,50-64,all_types,32996,28753602,63497,10103342,114.7543184,628.4752115,5.476702054,,,,0,,,,,,,,,
case,21-Sep,202136,65-79,all_types,23517,22378536.8,24740,3477181.75,105.0872995,711.4957393,6.770520724,,,,1,,,,,,,,,
case,21-Sep,202136,80+,all_types,7516,6568995,6076,1538379.55,114.4162844,394.9610485,3.451965344,,,,1,,,,,,,,,
case,21-Sep,202136,all_ages_adj,Janssen,14527,9053150,400468,60148965.3,160.4634851,665.7936641,4.1491911,158.132008,670.8131925,4.242108863,0,,,,,,,,,
case,21-Sep,202136,all_ages_adj,Moderna,40335,42458104,400468,60148965.3,94.99953177,665.7936641,7.008388901,94.99415987,670.8131925,7.061625614,0,,,,,,,,,
case,21-Sep,202136,all_ages_adj,Pfizer,78043,61567888,400468,60148965.3,126.7592613,665.7936641,5.252426194,128.6656166,670.8131925,5.213616585,0,,,,,,,,,
case,21-Sep,202136,all_ages_adj,all_types,133148,113157387.8,400468,60148965.3,117.6662016,665.7936641,5.658325461,118.4356998,670.8131925,5.663944177,0,,,,,,,,,
case,21-Sep,202137, 12-17,all_types,4148,6705708,53373,8502378,61.85774865,627.742027,10.14815509,,,,0,,,,,,,,,
case,21-Sep,202137,18-29,all_types,18554,17072467,84504,16478405,108.6779081,512.8166227,4.718683232,,,,0,,,,,,,,,
case,21-Sep,202137,30-49,all_types,41083,33067564,122325,18958433,124.239572,645.2273772,5.193412747,,,,0,,,,,,,,,
case,21-Sep,202137,50-64,all_types,30952,29092088,55674,9857437,106.3931884,564.7918419,5.308533848,,,,0,,,,,,,,,
case,21-Sep,202137,65-79,all_types,22699,22494446.8,22697,3393265.75,100.9093498,668.8836558,6.628559765,,,,1,,,,,,,,,
case,21-Sep,202137,80+,all_types,7229,6593299,5618,1519746.55,109.6416225,369.6669027,3.371592779,,,,1,,,,,,,,,
case,21-Sep,202137,all_ages_adj,Janssen,13379,9149165,344191,58709665.3,146.2319239,586.2595166,4.009107594,137.9764242,594.8082137,4.310940925,0,,,,,,,,,
case,21-Sep,202137,all_ages_adj,Moderna,38144,42940494,344191,58709665.3,88.82990494,586.2595166,6.599798987,86.83090002,594.8082137,6.850190583,0,,,,,,,,,
case,21-Sep,202137,all_ages_adj,Pfizer,72919,62857230,344191,58709665.3,116.0073392,586.2595166,5.053641613,117.2655015,594.8082137,5.072320554,0,,,,,,,,,
case,21-Sep,202137,all_ages_adj,all_types,124665,115025572.8,344191,58709665.3,108.3802471,586.2595166,5.409283817,108.3143879,594.8082137,5.491497715,0,,,,,,,,,
case,21-Sep,202138, 12-17,all_types,3846,6998730,44512,8336869,54.95282716,533.9174695,9.715923586,,,,0,,,,,,,,,
case,21-Sep,202138,18-29,all_types,14883,17408804,68052,16184290,85.49122616,420.4818376,4.918420948,,,,0,,,,,,,,,
case,21-Sep,202138,30-49,all_types,36986,33600544,100883,18535683,110.0755988,544.2637317,4.944453973,,,,0,,,,,,,,,
case,21-Sep,202138,50-64,all_types,27626,29366778,46019,9660587,94.07228808,476.3582172,5.063746475,,,,0,,,,,,,,,
case,21-Sep,202138,65-79,all_types,20139,22586392.8,19168,3325059.45,89.16430427,576.4708959,6.465265451,,,,1,,,,,,,,,
case,21-Sep,202138,80+,all_types,6525,6613052.45,4808,1501896.55,98.66850519,320.1285734,3.244485896,,,,1,,,,,,,,,
case,21-Sep,202138,all_ages_adj,Janssen,11681,9217933,283442,57544385,126.720383,492.5623934,3.887002089,120.0335988,501.554036,4.178447045,0,,,,,,,,,
case,21-Sep,202138,all_ages_adj,Moderna,33684,43389694,283442,57544385,77.63133799,492.5623934,6.344891202,74.80060546,501.554036,6.705213587,0,,,,,,,,,
case,21-Sep,202138,all_ages_adj,Pfizer,64503,63887586,283442,57544385,100.9632763,492.5623934,4.878629252,101.7216719,501.554036,4.930650732,0,,,,,,,,,
case,21-Sep,202138,all_ages_adj,all_types,110005,116574301.3,283442,57544385,94.36470888,492.5623934,5.219773358,93.89346162,501.554036,5.341735488,0,,,,,,,,,
case,21-Sep,202139, 12-17,all_types,3575,7265020,36943,8203930,49.2083986,450.3085716,9.15105113,,,,0,,,,,,,,,
case,21-Sep,202139,18-29,all_types,13799,17786653,57103,15925528,77.58064432,358.56268,4.621805905,,,,0,,,,,,,,,
case,21-Sep,202139,30-49,all_types,36031,34196856,86996,18151288,105.3634872,479.2827925,4.548850889,,,,0,,,,,,,,,
case,21-Sep,202139,50-64,all_types,26858,29664117,40690,9476618,90.54036566,429.3725884,4.742333271,,,,0,,,,,,,,,
case,21-Sep,202139,65-79,all_types,19662,22684385.8,17391,3194625.45,86.67636044,544.3830669,6.280640582,,,,1,,,,,,,,,
case,21-Sep,202139,80+,all_types,6144,6633517.45,4347,1463380.55,92.62054478,297.0519186,3.207192522,,,,1,,,,,,,,,
case,21-Sep,202139,all_ages_adj,Janssen,10992,9297785,243470,56415370,118.2217055,431.5667876,3.650486903,110.8136944,443.8713125,4.005563706,0,,,,,,,,,
case,21-Sep,202139,all_ages_adj,Moderna,32774,43881464,243470,56415370,74.68757196,431.5667876,5.778294518,75.45398651,443.8713125,5.88267543,0,,,,,,,,,
case,21-Sep,202139,all_ages_adj,Pfizer,62207,64972116,243470,56415370,95.74414969,431.5667876,4.507500343,96.26678537,443.8713125,4.610845899,0,,,,,,,,,
case,21-Sep,202139,all_ages_adj,all_types,106069,118230549.3,243470,56415370,89.71369978,431.5667876,4.810489241,88.8654777,443.8713125,4.994867794,0,,,,,,,,,
case,21-Oct,202140, 12-17,all_types,3418,7487887,30954,8089615,45.64705637,382.6387288,8.382549921,,,,0,,,,,,,,,
case,21-Oct,202140,18-29,all_types,12874,18139968,50067,15697370,70.97035673,318.9515186,4.494151267,,,,0,,,,,,,,,
case,21-Oct,202140,30-49,all_types,34131,34735961,76866,17816119,98.25840143,431.4407644,4.390879132,,,,0,,,,,,,,,
case,21-Oct,202140,50-64,all_types,25578,29933335,36573,9312821,85.44988388,392.7166645,4.595871248,,,,0,,,,,,,,,
case,21-Oct,202140,65-79,all_types,18608,22775063.8,15886,3086447.45,81.70339352,514.7017812,6.299637739,,,,1,,,,,,,,,
case,21-Oct,202140,80+,all_types,5954,6652306.45,3989,1428462.55,89.50279192,279.2512831,3.12002874,,,,1,,,,,,,,,
case,21-Oct,202140,all_ages_adj,Janssen,10382,9371966,214335,55430835,110.7771838,386.6710649,3.490529834,102.8654349,400.8370025,3.896712272,0,,,,,,,,,
case,21-Oct,202140,all_ages_adj,Moderna,31726,44274922,214335,55430835,71.65681737,386.6710649,5.396151812,68.57590683,400.8370025,5.845157884,0,,,,,,,,,
case,21-Oct,202140,all_ages_adj,Pfizer,58320,65998388,214335,55430835,88.36579463,386.6710649,4.375800235,88.7765524,400.8370025,4.515122424,0,,,,,,,,,
case,21-Oct,202140,all_ages_adj,all_types,100563,119724521.3,214335,55430835,83.99532439,386.6710649,4.603483203,82.98879668,400.8370025,4.830013429,0,,,,,,,,,
case,21-Oct,202141, 12-17,all_types,2985,7658932,25357,7992544,38.97410239,317.2581846,8.140230695,,,,0,,,,,,,,,
case,21-Oct,202141,18-29,all_types,11846,18431523,42286,15493926,64.27032644,272.9198526,4.246436384,,,,0,,,,,,,,,
case,21-Oct,202141,30-49,all_types,30896,35175485,65818,17519745,87.83389909,375.6789839,4.277152532,,,,0,,,,,,,,,
case,21-Oct,202141,50-64,all_types,23179,30153824,32067,9163727,76.86918913,349.9340388,4.552331601,,,,0,,,,,,,,,
case,21-Oct,202141,65-79,all_types,16397,22876901.8,14160,2998866.15,71.67491535,472.1784598,6.587778409,,,,1,,,,,,,,,
case,21-Oct,202141,80+,all_types,5367,6675861.45,3762,1398301.55,80.39411902,269.0406801,3.346521902,,,,1,,,,,,,,,
case,21-Oct,202141,all_ages_adj,Janssen,9324,9439130,183450,54567109.7,98.78029013,336.1915282,3.40342722,89.44383429,351.6290548,3.931283331,0,,,,,,,,,
case,21-Oct,202141,all_ages_adj,Moderna,29455,44588712,183450,54567109.7,66.05932013,336.1915282,5.089236879,62.4662129,351.6290548,5.629107936,0,,,,,,,,,
case,21-Oct,202141,all_ages_adj,Pfizer,51780,66865610,183450,54567109.7,77.43891068,336.1915282,4.341377291,78.31914982,351.6290548,4.489694482,0,,,,,,,,,
case,21-Oct,202141,all_ages_adj,all_types,90670,120972527.3,183450,54567109.7,74.95090171,336.1915282,4.485490108,74.10522174,351.6290548,4.744996999,0,,,,,,,,,
case,21-Oct,202142, 12-17,all_types,3004,7806936,22059,7907032,38.47860415,278.979521,7.250250552,,,,0,,,,,,,,,
case,21-Oct,202142,18-29,all_types,11146,18691454,39307,15309010,59.63153,256.7572952,4.305730462,,,,0,,,,,,,,,
case,21-Oct,202142,30-49,all_types,30032,35566882,60714,17250329,84.43810172,351.9585047,4.168242743,,,,0,,,,,,,,,
case,21-Oct,202142,50-64,all_types,22702,30349579,29200,9019266,74.80169659,323.7514006,4.328129112,,,,0,,,,,,,,,
case,21-Oct,202142,65-79,all_types,15007,22969628.8,13076,2938938.15,65.33409891,444.922599,6.809959981,,,,1,,,,,,,,,
case,21-Oct,202142,80+,all_types,4985,6698445.45,3445,1369793.55,74.42025224,251.4977531,3.379426238,,,,1,,,,,,,,,
case,21-Oct,202142,all_ages_adj,Janssen,9041,9501979,167801,53794368.7,95.1486001,311.9304196,3.278350068,86.13454953,327.2642263,3.799453624,0,,,,,,,,,
case,21-Oct,202142,all_ages_adj,Moderna,28636,44822032,167801,53794368.7,63.88822354,311.9304196,4.882440023,60.38160345,327.2642263,5.419932689,0,,,,,,,,,
case,21-Oct,202142,all_ages_adj,Pfizer,48990,67679784,167801,53794368.7,72.38498279,311.9304196,4.30932505,73.40877158,327.2642263,4.458107925,0,,,,,,,,,
case,21-Oct,202142,all_ages_adj,all_types,86876,122082925.3,167801,53794368.7,71.16146654,311.9304196,4.383417526,70.57611588,327.2642263,4.637039348,0,,,,,,,,,
case,21-Oct,202143, 12-17,all_types,3056,7927770,22258,7832473,38.54804062,284.1758918,7.371993161,,,,0,,,,,,,,,
case,21-Oct,202143,18-29,all_types,12485,18919906,41020,15129143,65.98869994,271.1323437,4.108769288,,,,0,,,,,,,,,
case,21-Oct,202143,30-49,all_types,32223,35903983,61126,16961009,89.74770292,360.3912951,4.015604672,,,,0,,,,,,,,,
case,21-Oct,202143,50-64,all_types,23853,30518680,29700,8835081,78.15868838,336.1599062,4.300992163,,,,0,,,,,,,,,
case,21-Oct,202143,65-79,all_types,14986,23047069.8,12723,2826578.55,65.0234504,450.1201638,6.922428156,,,,1,,,,,,,,,
case,21-Oct,202143,80+,all_types,5211,6718436.45,3559,1316352.55,77.56268946,270.3682991,3.485803561,,,,1,,,,,,,,,
case,21-Oct,202143,all_ages_adj,Janssen,9571,9563297,170386,52900637.1,100.0805475,322.0868582,3.21827634,97.40273394,337.2866672,3.46280493,0,,,,,,,,,
case,21-Oct,202143,all_ages_adj,Moderna,31255,45043139,170386,52900637.1,69.38903614,322.0868582,4.641754319,66.26028634,337.2866672,5.090329153,0,,,,,,,,,
case,21-Oct,202143,all_ages_adj,Pfizer,50646,68350387,170386,52900637.1,74.09760533,322.0868582,4.346791732,75.81833798,337.2866672,4.448615945,0,,,,,,,,,
case,21-Oct,202143,all_ages_adj,all_types,91814,123035845.3,170386,52900637.1,74.62378124,322.0868582,4.316142292,74.47211333,337.2866672,4.529033113,0,,,,,,,,,
case,21-Nov,202144, 12-17,all_types,3667,8029422,23664,7756739,45.66953885,305.0766566,6.680090586,,,,0,,,,,,,,,
case,21-Nov,202144,18-29,all_types,16286,19121114,43401,14951803,85.17286179,290.2726848,3.408041937,,,,0,,,,,,,,,
case,21-Nov,202144,30-49,all_types,36848,36205417,63255,16675615,101.7748256,379.3263397,3.727113631,,,,0,,,,,,,,,
case,21-Nov,202144,50-64,all_types,25453,30669549,30226,8655094,82.99111278,349.2278651,4.208015213,,,,0,,,,,,,,,
case,21-Nov,202144,65-79,all_types,14826,23117715.8,12787,2743692.5,64.13263373,466.0507692,7.266983158,,,,1,,,,,,,,,
case,21-Nov,202144,80+,all_types,5101,6737885.45,3430,1280151.6,75.70624401,267.9370162,3.539166679,,,,1,,,,,,,,,
case,21-Nov,202144,all_ages_adj,Janssen,11039,9627567,176763,52063095.1,114.660329,339.5168875,2.961066747,109.3948481,354.2053736,3.237861562,0,,,,,,,,,
case,21-Nov,202144,all_ages_adj,Moderna,33953,45247756,176763,52063095.1,75.03797536,339.5168875,4.524600855,74.04746307,354.2053736,4.783491006,0,,,,,,,,,
case,21-Nov,202144,all_ages_adj,Pfizer,56883,68926944,176763,52063095.1,82.52650807,339.5168875,4.114034332,85.67009481,354.2053736,4.134527625,0,,,,,,,,,
case,21-Nov,202144,all_ages_adj,all_types,102181,123881103.3,176763,52063095.1,82.48312077,339.5168875,4.116198373,84.06099385,354.2053736,4.213671019,0,,,,,,,,,
case,21-Nov,202145, 12-17,all_types,4099,8117239,25564,7667121,50.49746595,333.4237193,6.602781209,,,,0,,,,,,,,,
case,21-Nov,202145,18-29,all_types,17017,19297958,46548,14783793,88.18031421,314.8583046,3.570618992,,,,0,,,,,,,,,
case,21-Nov,202145,30-49,all_types,41600,36481156,69377,16408058,114.0314742,422.8227375,3.707947655,,,,0,,,,,,,,,
case,21-Nov,202145,50-64,all_types,28967,30816314,33601,8485917,93.99891239,395.9619214,4.212409604,,,,0,,,,,,,,,
case,21-Nov,202145,65-79,all_types,15371,23218719.8,13860,2676042.5,66.20089364,517.928994,7.823595204,,,,1,,,,,,,,,
case,21-Nov,202145,80+,all_types,5481,6766804.45,3743,1249309.45,80.99835071,299.6055141,3.698908823,,,,1,,,,,,,,,
case,21-Nov,202145,all_ages_adj,Janssen,12253,9700735,192693,51270240.95,126.3100167,375.837906,2.975519407,122.5739787,393.5239763,3.210501775,0,,,,,,,,,
case,21-Nov,202145,all_ages_adj,Moderna,37517,45490845,192693,51270240.95,82.47153905,375.837906,4.557183124,82.81488014,393.5239763,4.751851064,0,,,,,,,,,
case,21-Nov,202145,all_ages_adj,Pfizer,62538,69428009,192693,51270240.95,90.07603833,375.837906,4.172451553,93.56087529,393.5239763,4.206074121,0,,,,,,,,,
case,21-Nov,202145,all_ages_adj,all_types,112535,124698191.3,192693,51270240.95,90.24589601,375.837906,4.16459831,92.10710378,393.5239763,4.272460648,0,,,,,,,,,
case,21-Nov,202146, 12-17,all_types,4675,8194669,26758,7570110,57.04928411,353.4691041,6.195855209,,,,0,,,,,,,,,
case,21-Nov,202146,18-29,all_types,18316,19463100,48354,14604769,94.10628317,331.0836344,3.518188406,,,,0,,,,,,,,,
case,21-Nov,202146,30-49,all_types,45583,36742457,74854,16119300,124.0608378,464.3750039,3.743123228,,,,0,,,,,,,,,
case,21-Nov,202146,50-64,all_types,32179,30959421,37455,8295099,103.9392823,451.5316815,4.344187024,,,,0,,,,,,,,,
case,21-Nov,202146,65-79,all_types,16518,23313522.8,15821,2606416.5,70.85158319,607.0019891,8.567232542,,,,1,,,,,,,,,
case,21-Nov,202146,80+,all_types,5492,6794293.45,4302,1220719.45,80.83254043,352.415127,4.359817533,,,,1,,,,,,,,,
case,21-Nov,202146,all_ages_adj,Janssen,13264,9786320,207544,50416413.95,135.5361362,411.6595841,3.03726811,123.8724911,436.2754219,3.521971812,0,,,,,,,,,
case,21-Nov,202146,all_ages_adj,Moderna,39926,45728952,207544,50416413.95,87.31011373,411.6595841,4.71491293,87.150879,436.2754219,5.005978447,0,,,,,,,,,
case,21-Nov,202146,all_ages_adj,Pfizer,69301,69873954,207544,50416413.95,99.18001778,411.6595841,4.150630272,102.9469022,436.2754219,4.237868383,0,,,,,,,,,
case,21-Nov,202146,all_ages_adj,all_types,122763,125467463.3,207544,50416413.95,97.84449037,411.6595841,4.207284259,99.95124475,436.2754219,4.364882328,0,,,,,,,,,
case,21-Nov,202147, 12-17,all_types,3817,8260412,19416,7494096,46.20834893,259.0839509,5.606864493,,,,0,,,,,,,,,
case,21-Nov,202147,18-29,all_types,16590,19610706,41961,14424095,84.59664838,290.9090657,3.438777673,,,,0,,,,,,,,,
case,21-Nov,202147,30-49,all_types,42085,36974106,66503,15845078,113.8229008,419.7076215,3.687374144,,,,0,,,,,,,,,
case,21-Nov,202147,50-64,all_types,29474,31085111,34207,8101575,94.81709748,422.2265424,4.453063356,,,,0,,,,,,,,,
case,21-Nov,202147,65-79,all_types,14945,23389348.8,14891,2557202.5,63.89660579,582.316027,9.113410952,,,,1,,,,,,,,,
case,21-Nov,202147,80+,all_types,5077,6817422.45,4188,1200113.45,74.4709608,348.9670081,4.68594744,,,,1,,,,,,,,,
case,21-Nov,202147,all_ages_adj,Janssen,12043,9866221,181166,49622159.95,122.0629459,365.0909194,2.991005311,113.0383542,394.0004486,3.485546576,0,,,,,,,,,
case,21-Nov,202147,all_ages_adj,Moderna,35864,45932847,181166,49622159.95,78.07920114,365.0909194,4.675904903,75.18803781,394.0004486,5.240201236,0,,,,,,,,,
case,21-Nov,202147,all_ages_adj,Pfizer,63867,70260172,181166,49622159.95,90.90071684,365.0909194,4.016370081,94.49650357,394.0004486,4.169471184,0,,,,,,,,,
case,21-Nov,202147,all_ages_adj,all_types,111988,126137106.3,181166,49622159.95,88.78275658,365.0909194,4.112182742,90.51837747,394.0004486,4.35271223,0,,,,,,,,,
case,21-Dec,202148, 12-17,all_types,6818,8323009,32665,7419470,81.91748922,440.2605577,5.374439108,,,,0,,,,,,,,,
case,21-Dec,202148,18-29,all_types,27754,19751459,67045,14246624,140.5162019,470.6027196,3.349099345,,,,0,,,,,,,,,
case,21-Dec,202148,30-49,all_types,61371,37195276,96461,15560719,164.9967593,619.9006614,3.757047497,,,,0,,,,,,,,,
case,21-Dec,202148,50-64,all_types,42576,31211820,48172,7904013.3,136.4098601,609.4625372,4.467877445,,,,1,,,,,,,,,
case,21-Dec,202148,65-79,all_types,20453,23461409.8,19885,2494990.5,87.17719939,796.9970226,9.142264586,,,,1,,,,,,,,,
case,21-Dec,202148,80+,all_types,6393,6839812.45,5297,1178096.45,93.46747512,449.623628,4.810482229,,,,1,,,,,,,,,
case,21-Dec,202148,all_ages_adj,Janssen,17571,9942158,269525,48803913.25,176.7322547,552.2610423,3.124845791,164.7760132,583.5289406,3.541346397,0,,,,,,,,,
case,21-Dec,202148,all_ages_adj,Moderna,51087,46127473,269525,48803913.25,110.7517856,552.2610423,4.986475291,111.0381464,583.5289406,5.25521147,0,,,,,,,,,
case,21-Dec,202148,all_ages_adj,Pfizer,96377,70635446,269525,48803913.25,136.4428279,552.2610423,4.047563737,142.2251417,583.5289406,4.102853641,0,,,,,,,,,
case,21-Dec,202148,all_ages_adj,all_types,165365,126782786.3,269525,48803913.25,130.4317446,552.2610423,4.234099941,134.8406852,583.5289406,4.327543574,0,,,,,,,,,
case,21-Dec,202149,11-May,all_types,31,222613,45214,16825646,13.92551199,268.7207374,19.29700952,,,,0,,,,,,,,,
case,21-Dec,202149, 12-17,all_types,6953,8703421,30917,7670817,79.88812675,403.0470288,5.045143066,,,,0,,,,,,,,,
case,21-Dec,202149,18-29,all_types,26945,20813952,60683,14339567,129.4564338,423.185721,3.268943138,,,,0,,,,,,,,,
case,21-Dec,202149,30-49,all_types,55864,39169645,88970,15589829,142.6206441,570.6925971,4.001472582,,,,0,,,,,,,,,
case,21-Dec,202149,50-64,all_types,38506,32877321,45547,7856126.3,117.1202483,579.7641008,4.95016113,,,,1,,,,,,,,,
case,21-Dec,202149,65-79,all_types,17522,24557806.5,19051,2494340.8,71.35002061,763.7689284,10.7045369,,,,1,,,,,,,,,
case,21-Dec,202149,80+,all_types,5518,7211209.45,5121,1176100.9,76.51975772,435.4218248,5.690318915,,,,1,,,,,,,,,
case,21-Dec,202149,all_ages_adj,Janssen,15956,10486155,295503,65952427,152.1625419,448.0547774,2.944579998,123.7281756,512.4562793,4.141791285,0,,,,,,,,,
case,21-Dec,202149,all_ages_adj,Moderna,46744,48491896,295503,65952427,96.39548843,448.0547774,4.648088668,133.4623505,512.4562793,3.839706684,0,,,,,,,,,
case,21-Dec,202149,all_ages_adj,Pfizer,88415,74534143,295503,65952427,118.6234878,448.0547774,3.777116875,111.7828712,512.4562793,4.584390023,0,,,,,,,,,
case,21-Dec,202149,all_ages_adj,all_types,151339,133555968,295503,65952427,113.3150411,448.0547774,3.9540627,106.7760472,512.4562793,4.799356153,0,,,,,,,,,
case,21-Dec,202150,11-May,all_types,638,949785,53342,16438706,67.17309707,324.490261,4.830658033,,,,0,,,,,,,,,
case,21-Dec,202150, 12-17,all_types,14790,8788892,37678,7590900,168.2805978,496.3574807,2.949582347,,,,0,,,,,,,,,
case,21-Dec,202150,18-29,all_types,68618,20938643,93059,14117288,327.7098712,659.1846819,2.011488637,,,,0,,,,,,,,,
case,21-Dec,202150,30-49,all_types,102069,39365430,117590,15285753,259.285876,769.2784255,2.966912188,,,,0,,,,,,,,,
case,21-Dec,202150,50-64,all_types,53159,32995015,50271,7666667.65,161.1122165,655.7086116,4.069887596,,,,1,,,,,,,,,
case,21-Dec,202150,65-79,all_types,21068,24611741.6,19432,2446316.8,85.6014188,794.3370213,9.279484294,,,,1,,,,,,,,,
case,21-Dec,202150,80+,all_types,5509,7226489.45,4882,1158265.9,76.23341926,421.4921634,5.528968365,,,,1,,,,,,,,,
case,21-Dec,202150,all_ages_adj,Janssen,24032,10551104,376254,64703897.35,227.7676346,581.5012934,2.553046198,244.2860459,647.8472405,2.652002648,0,,,,,,,,,
case,21-Dec,202150,all_ages_adj,Moderna,79149,48657920,376254,64703897.35,162.6641665,581.5012934,3.574857979,243.572763,647.8472405,2.65976882,0,,,,,,,,,
case,21-Dec,202150,all_ages_adj,Pfizer,162393,75625153,376254,64703897.35,214.734111,581.5012934,2.708006151,214.9578596,647.8472405,3.013833695,0,,,,,,,,,
case,21-Dec,202150,all_ages_adj,all_types,265851,134875996.1,376254,64703897.35,197.1077195,581.5012934,2.950170064,201.7417891,647.8472405,3.211269431,0,,,,,,,,,
case,21-Dec,202151,11-May,all_types,3891,1832927,68917,16045284,212.2834134,429.5156134,2.023312169,,,,0,,,,,,,,,
